date,steps_xml_rawsum,distance_km_xml_rawsum,flights_climbed,active_energy_kcal,exercise_min,stand_hours,hr_mean_bpm,hr_min_bpm,hr_max_bpm,hr_samples
2026-01-13,3906.0,2.834460747,2.0,85.86600000000003,7.0,2.0,124.13333333333334,100.0,141.0,105.0
2026-01-14,22476.0,15.843152278999996,2.0,728.6730000000002,24.0,14.0,105.5310071332436,56.0,142.0,743.0
2026-01-15,9708.0,7.089859207999999,9.0,249.40800000000002,27.0,4.0,126.9315794621027,58.0,174.0,409.0
2026-01-16,6637.0,4.827753779999998,6.0,181.24300000000017,11.0,3.0,110.82572330097086,65.0,135.0,206.0
2026-01-17,16909.0,12.326025229999997,10.0,324.419,18.0,5.0,119.90852073732718,61.0,154.0,217.0
2026-01-18,6738.0,4.842823146999999,0.0,224.41299999999978,12.0,5.0,96.86063311258279,66.0,126.0,302.0
2026-01-19,11973.0,8.446807462,4.0,347.9290000000002,10.0,9.0,104.44182416666666,56.0,147.0,240.0
2026-01-20,11517.0,8.290997897000004,4.0,310.57000000000005,20.0,7.0,110.92647474747474,56.0,138.0,297.0
2026-01-21,22517.0,15.977084049999998,4.0,640.1020000000001,28.0,11.0,105.15372745490981,57.0,197.0,499.0
2026-01-22,8722.0,6.26938521,1.0,210.24499999999998,14.0,5.0,119.93302000000001,77.0,151.0,280.0
2026-01-23,12791.0,9.722303770000002,20.0,365.5089999999999,14.0,7.0,101.9825698224852,69.0,155.0,169.0
2026-01-24,6621.0,4.85503825,1.0,207.08099999999996,6.0,6.0,100.88391213872832,58.0,133.0,173.0
2026-01-25,600.0,0.448731,0.0,0.0,0.0,0.0,,,,0.0
2026-01-26,7110.0,5.56031982,0.0,141.6910000000001,13.0,3.0,112.23822110552763,85.0,137.0,199.0
2026-01-27,7796.0,5.699505853000002,0.0,181.22600000000003,16.0,3.0,113.87174748858448,74.0,175.0,219.0
2026-01-28,18965.0,13.678846716999997,11.0,497.92599999999914,19.0,10.0,93.85070935064935,54.0,145.0,385.0
2026-01-29,18761.0,13.966584209999997,17.0,481.49499999999983,26.0,9.0,102.54676580086581,68.0,130.0,462.0
2026-01-30,2640.0,2.0542204,0.0,48.5,1.0,1.0,97.21780909090909,79.0,123.0,11.0
2026-01-31,6172.0,4.9475279599999995,2.0,175.69200000000004,8.0,6.0,110.7440294117647,64.0,156.0,136.0
2026-02-01,4116.0,2.9346591600000003,2.0,237.36499999999967,4.0,6.0,98.44983684210526,52.0,152.0,190.0
2026-02-02,887.0,0.615044554,6.0,76.80099999999997,11.0,2.0,100.84276729559748,72.0,135.0,159.0
