date,steps,distance_km,active_energy_kcal,resting_energy_kcal,exercise_min,stand_hours,flights_climbed,hr_mean_bpm,hr_min_bpm,hr_max_bpm,hr_samples,hrv_ms,resp_rate,resting_hr_bpm,walking_speed_kmh,walking_step_length_cm,stand_min,steps_xml_rawsum,distance_km_xml_rawsum,hrv_ms_missing,resp_rate_missing,resting_hr_bpm_missing,walking_speed_kmh_missing,walking_step_length_cm_missing,stand_min_missing
2025-12-25,1793.0,1.03,,,,,0.0,,,,0.0,,,,3.04,57.38,0.0,1966.0,1.1293600000000001,1,1,1,0,0,0
2025-12-26,13363.0,9.25,403.2026768642447,499.52198852772466,31.0,6.0,6.0,115.26,68.0,140.0,460.0,15.95,,90.0,3.26,59.19,118.0,21143.0,13.741192892,0,1,0,0,0,0
2025-12-27,7395.0,5.54,450.0478011472275,1985.4206500956022,35.0,9.0,10.0,107.56,57.0,176.0,586.0,39.17,15.7,82.0,4.23,65.33,102.0,13685.0,9.921480218000003,0,0,0,0,0,0
2025-12-28,14149.0,10.79,1020.793499043977,2045.889101338432,63.0,12.0,0.0,126.98,54.0,199.0,1048.0,25.14,19.0,89.0,3.97,65.08,195.0,26742.0,20.139516613000016,0,0,0,0,0,0
2025-12-29,1300.0,0.962,155.84847036328873,473.4703632887189,1.0,5.0,0.0,91.32,50.0,115.0,59.0,25.02,,,3.37,55.33,13.0,1808.0,1.3320691020000006,0,1,1,0,0,0
2025-12-30,9905.0,7.21,338.4321223709369,545.4110898661568,7.0,6.0,2.0,91.13,48.0,120.0,82.0,41.67,,77.0,3.4,59.78,150.0,17661.0,12.044198249999996,0,1,0,0,0,0
2025-12-31,35.0,0.029,1.7351816443594645,1646.0325047801146,0.0,1.0,0.0,120.74,116.0,130.0,15.0,,,,,,1.0,35.0,0.028515190000000003,1,1,1,1,1,0
2026-01-01,13628.0,9.79,477.53346080305926,2004.7801147227533,8.0,8.0,0.0,89.12,55.0,122.0,70.0,26.39,,65.0,3.36,55.26,208.0,23933.0,17.190253070000004,0,1,0,0,0,0
2026-01-02,13237.0,9.63,478.25047801147224,2024.8565965583173,12.0,8.0,4.0,98.0,60.0,137.0,230.0,24.01,,87.0,3.53,58.16,161.0,21951.0,15.972755589999998,0,1,0,0,0,0
2026-01-03,1356.0,1.01,39.153919694072655,1842.4952198852773,6.0,1.0,0.0,97.67,79.0,109.0,3.0,,,,3.67,56.8,11.0,2253.0,1.6017099599999998,1,1,1,0,0,0
2026-01-04,8748.0,6.6,353.0114722753346,1949.3307839388144,22.0,6.0,9.0,108.74,68.0,137.0,250.0,22.59,18.14,92.0,4.1,68.26,98.0,14944.0,11.437774136000003,0,0,0,0,0,0
2026-01-05,3746.0,2.91,228.15965583173994,1930.9273422562142,0.0,6.0,0.0,93.07,57.0,130.0,67.0,28.33,17.25,,4.03,66.88,83.0,5758.0,4.265868800000001,0,0,1,0,0,0
2026-01-06,5312.0,3.8,192.40917782026767,1747.1319311663478,6.0,3.0,1.0,126.75,56.0,156.0,233.0,19.9,,,4.22,64.11,57.0,7268.0,5.014277469999998,0,1,1,0,0,0
2026-01-07,4974.0,3.66,227.64579349904398,1921.8451242829826,5.0,5.0,3.0,,,,0.0,,,,4.29,67.79,76.0,8858.0,6.363498009999999,1,1,1,0,0,0
2026-01-08,12364.0,9.12,589.6271510516252,2049.2351816443593,22.0,14.0,6.0,101.44,53.0,142.0,508.0,27.45,17.5,74.0,3.98,64.62,160.0,22293.0,16.118716689999992,0,0,0,0,0,0
2026-01-09,5353.0,3.95,104.72753346080306,1869.263862332696,3.0,2.0,0.0,92.73,57.0,134.0,29.0,40.37,,83.0,4.64,71.03,32.0,7135.0,5.284113371999999,0,1,0,0,0,0
2026-01-10,5253.0,4.07,232.4976099426386,1713.9101338432122,20.0,5.0,6.0,103.24,78.0,129.0,259.0,34.77,,78.0,4.49,69.5,46.0,8695.0,6.359939649999999,0,1,0,0,0,0
2026-01-11,1201.0,0.803,,,,,0.0,,,,0.0,,,,3.96,63.5,0.0,1201.0,0.8029900999999999,1,1,1,0,0,0
2026-01-12,4500.0,3.44,211.06118546845124,559.9904397705544,25.0,3.0,4.0,119.26,56.0,145.0,383.0,26.29,,,4.33,66.92,57.0,8902.0,6.833243911000002,0,1,1,0,0,0
2026-01-13,2030.0,1.49,85.86520076481835,1856.1185468451242,7.0,2.0,2.0,124.96,100.0,141.0,105.0,,,,4.7,69.0,25.0,3906.0,2.834460747,1,1,1,0,0,0
2026-01-14,12016.0,9.01,728.7284894837476,2134.321223709369,24.0,14.0,2.0,97.26,56.0,142.0,743.0,40.68,16.67,78.0,3.78,64.12,185.0,22476.0,15.843152278999996,0,0,0,0,0,0
2026-01-15,5129.0,3.82,249.52198852772466,1882.6481835564052,27.0,4.0,9.0,118.86,58.0,174.0,409.0,28.58,,90.0,4.73,69.25,61.0,9708.0,7.089859207999999,0,1,0,0,0,0
2026-01-16,3644.0,2.72,181.24282982791587,1890.057361376673,11.0,3.0,6.0,111.06,65.0,135.0,206.0,28.19,,90.0,4.27,66.57,55.0,6637.0,4.827753779999998,0,1,0,0,0,0
2026-01-17,10328.0,7.58,324.33078393881453,1916.3479923518164,18.0,6.0,10.0,107.83,61.0,154.0,217.0,20.19,21.75,79.0,4.34,68.42,96.0,16909.0,12.326025229999997,0,0,0,0,0,0
2026-01-18,4027.0,2.96,224.21845124282981,1932.1223709369024,12.0,5.0,0.0,88.04,66.0,126.0,302.0,48.33,14.46,68.0,4.08,64.65,43.0,6738.0,4.842823146999999,0,0,0,0,0,0
2026-01-19,6468.0,4.82,348.23135755258124,1972.7533460803058,10.0,8.0,4.0,98.57,56.0,147.0,240.0,31.32,17.0,78.0,4.18,67.22,94.0,11973.0,8.446807462,0,0,0,0,0,0
2026-01-20,5680.0,4.18,310.4684512428298,1934.9904397705545,20.0,7.0,4.0,102.28,56.0,138.0,297.0,14.23,,74.0,4.44,67.04,76.0,11517.0,8.290997897000004,0,1,0,0,0,0
2026-01-21,11302.0,8.21,640.057361376673,2055.2103250478012,28.0,12.0,4.0,96.12,57.0,197.0,499.0,32.43,,75.0,3.97,64.22,171.0,22517.0,15.977084049999998,0,1,0,0,0,0
2026-01-22,4568.0,3.35,210.24617590822177,1884.321223709369,14.0,4.0,1.0,111.41,77.0,151.0,280.0,20.98,12.5,77.0,4.67,70.0,57.0,8722.0,6.26938521,0,0,0,0,0,0
